	year	genre	title	authors	source	set	period
alew001besl01	1715	blijspel / komedie	Beslikte Swaantje en drooge Fobert	Abraham Alewijn	nederlab	annotations	classicism
alew001puit01	1720	blijspel / komedie	De Puiterveensche helleveeg	Abraham Alewijn	nederlab	annotations	classicism
bidl001nede01	1723	blijspel / komedie	De muitery en nederlaag van Midas	Govert Bidloo	nederlab	annotations	classicism
bred001moor01	1617	blijspel / komedie	Moortje	G.A. Bredero	nederlab	annotations	renaissance
bren001goud01	1791	blijspel / komedie	De gouden bruiloft van Kloris en Roosje	Gerrit Brender à Brandis	nederlab	annotations	enlightenment
bren001scha01	1797	blijspel / komedie	De schaaking uit het Serail	Gerrit Brender à Brandis	nederlab	annotations	enlightenment
focq001mini02	1674	blijspel / komedie	De min in 't Lazarus-huys	Willem G. Focquenbroch	nederlab	annotations	classicism
fres003pefr01	1746	klucht	De electriciteit; of Pefroen, met het schaeps-hoofd. Ge-electriseerd	Albertus Frese & Christiaan Schaaf	nederlab	annotations	classicism
hare003agon01	1769	tragedie/treurspel	Agon, sulthan van Bantam	Onno Zwier Haren	nederlab	annotations	enlightenment
hoof001achi01	1614	tragedie/treurspel	Achilles en Polyxena	P.C. Hooft	nederlab	annotations	renaissance
hoof001gran01	1615	tragedie/treurspel	Granida	P.C. Hooft	nederlab	annotations	renaissance
huyd001achi01	1719	tragedie/treurspel	Achilles	Balthazar Huydecoper	nederlab	annotations	classicism
lang020chph01	1760	blijspel / komedie	Spiegel der vaderlandsche kooplieden	Pieter Langendijk	nederlab	annotations	enlightenment
lijn002vlug01	1785	tragedie/treurspel	De vlugt van Eneas, of De dood van Dido	Philip Fredrik Lijnslager	nederlab	annotations	enlightenment
ling001ontd01	1687	blijspel / komedie	De ontdekte schyndeugd	David Lingelbach	nederlab	annotations	classicism
meij001verl01	1668	tragedie/treurspel	Verloofde koninksbruidt	Lodewijk Meyer	nederlab	annotations	renaissance
noms001mich01	1780	tragedie/treurspel	Michiel Adriaansz. de Ruyter	Joannes Nomsz	nederlab	annotations	enlightenment
pels001verw02	1684	blijspel / komedie	De verwaande Hollandsche Franschman	Andries Pels	nederlab	annotations	classicism
rivi001jeug01	1788	blijspel / komedie	De jeugdige Michiel Adriaansz. de Ruiter in de touwbaan	Simon Rivier	nederlab	annotations	enlightenment
rivi001vero01	1777	tragedie/treurspel	De verovering van Den Briel, of Grondlegging der Batavische vryheid	Simon Rivier	nederlab	annotations	enlightenment
ross006zing01	1708	blijspel / komedie	De zingende kraamer of Vermaakelyke Krispyn	Jakobus Rosseau	nederlab	annotations	classicism
stee033adag01	1754	tragedie/treurspel	Ada, gravin van Holland en Zeeland	Frans Steenwijk	nederlab	annotations	enlightenment
stee033tham01	1745	tragedie/treurspel	Thamas Koelikan, of de verovering van het Mogolsche rijk	Frans Steenwijk	nederlab	annotations	classicism
vinc001pefr02	1669	klucht	Pefroen met het schaapshoofd	Ysbrand Vincent	nederlab	annotations	renaissance
vond001gysb04	1637	tragedie/treurspel	Gysbreght van Aemstel	Joost Vondel	nederlab	annotations	renaissance
